B,alg,inst,d,banda,h0,semilla,exito,evals,cruda,simple,t
100,HC,20,7,0,7,2,1,97,7,7,8.907200026442297e-05
100,HC,20,7,0,7,3,0,100,,,6.472600034612697e-05
100,HC,20,7,0,7,4,1,17,7,7,1.0057000054075615e-05
100,HC,20,7,0,7,5,0,100,,,6.527499999720021e-05
100,HC,20,7,0,7,6,1,88,7,7,5.4428000112238806e-05
100,HC,20,7,0,7,7,1,17,7,7,8.998000339488499e-06
100,HC,20,7,0,7,8,1,17,7,7,8.767000053921947e-06
100,HC,20,7,0,7,9,1,17,7,7,8.46800003273529e-06
100,HC,21,10,0,10,0,1,21,10,10,1.0983000265696319e-05
100,HC,21,10,0,10,1,1,37,10,10,2.4821999886626145e-05
100,HC,21,10,0,10,2,0,100,,,7.774400000926107e-05
100,HC,21,10,0,10,3,1,21,10,10,1.1100999927293742e-05
100,HC,21,10,0,10,4,1,21,10,10,1.0450999980093911e-05
100,HC,21,10,0,10,5,1,56,10,10,4.176700031166547e-05
100,HC,21,10,0,10,6,0,100,,,7.794700013619149e-05
100,HC,21,10,0,10,7,1,32,10,10,2.0252000012987992e-05
100,HC,21,10,0,10,8,1,26,10,10,1.4771999758522725e-05
100,HC,21,10,0,10,9,1,41,10,10,2.8502000077423872e-05
100,HC,22,9,0,9,0,1,72,9,9,4.2083000153070316e-05
100,HC,22,9,0,9,1,1,38,9,9,2.3624999812454917e-05
100,HC,22,9,0,9,2,1,30,9,9,1.617699990674737e-05
100,HC,22,9,0,9,3,1,64,11,11,4.0828999772202224e-05
100,HC,22,9,0,9,4,1,20,9,9,1.0285000371368369e-05
100,HC,22,9,0,9,5,1,66,9,9,6.363600004988257e-05
100,HC,22,9,0,9,6,1,40,9,9,2.3751000298943836e-05
100,HC,22,9,0,9,7,1,20,9,9,1.0646999726304784e-05
100,HC,22,9,0,9,8,1,20,9,9,9.951999800250633e-06
100,HC,22,9,0,9,9,0,100,,,5.83139999434934e-05
100,HC,23,9,0,7,0,0,100,,,6.83270000081393e-05
100,HC,23,9,0,7,1,0,100,,,6.707600005029235e-05
100,HC,23,9,0,7,2,0,100,,,6.897399998706533e-05
100,HC,23,9,0,7,3,0,100,,,6.631499991271994e-05
100,HC,23,9,0,7,4,0,100,,,6.57680002404959e-05
100,HC,23,9,0,7,5,0,100,,,6.697699973301496e-05
100,HC,23,9,0,7,6,0,100,,,6.643500000791391e-05
100,HC,23,9,0,7,7,0,100,,,6.731099983880995e-05
100,HC,23,9,0,7,8,0,100,,,6.706299973302521e-05
100,HC,23,9,0,7,9,0,100,,,6.643599999733851e-05
100,HC,24,10,0,8,0,1,27,10,10,2.3245000193128362e-05
100,HC,24,10,0,8,1,1,27,10,10,1.6821000372146955e-05
100,HC,24,10,0,8,2,1,37,10,10,2.3874999897088856e-05
100,HC,24,10,0,8,3,1,53,10,10,3.1942000077833654e-05
100,HC,24,10,0,8,4,1,35,10,10,2.009900026678224e-05
100,HC,24,10,0,8,5,1,56,10,10,3.492699988782988e-05
100,HC,24,10,0,8,6,1,35,10,10,2.0772999960172456e-05
100,HC,24,10,0,8,7,1,33,10,10,1.9965999854321126e-05
100,HC,24,10,0,8,8,1,43,10,10,2.76839996331546e-05
100,HC,24,10,0,8,9,1,27,10,10,1.5899999652901897e-05
100,HC,25,10,0,10,0,1,21,10,10,1.1705000360962003e-05
100,HC,25,10,0,10,1,1,65,10,10,4.0159000036510406e-05
100,HC,25,10,0,10,2,1,36,10,10,2.1395000203483505e-05
